id;inicial_date;creado_date;enviado_date;error_date;pagado_date;status;reference;amount;type;jhi_from;account_from;reference_from;message_from;payment_string;edit_by;edit_date;created_by;creates_date
1;2023-09-24T18:37:27;2023-09-24T05:05:53;2023-09-24T11:14:01;2023-09-24T12:10:13;2023-09-24T17:35:03;INICIAL;Investment;99701;true;Representative B2B;Operations orchestrate Estates;cross-platform Garden;matrix Innovative;didactic Cotton Small;payment Zimbabwe;2023-09-24T17:23:03;Ball e-tailers Technician;2023-09-23T23:21:27
2;2023-09-24T10:09:20;2023-09-24T13:02:26;2023-09-23T23:54:34;2023-09-24T12:28:12;2023-09-24T08:13:18;INICIAL;Assistant;19104;false;end-to-end optimize Awesome;Pizza Facilitator;Mariana Ergonomic;port enable;Island optical olive;plum monitor mindshare;2023-09-24T03:59:34;generation maximize connect;2023-09-24T15:43:55
3;2023-09-23T22:39:17;2023-09-23T21:31:56;2023-09-23T23:52:18;2023-09-24T05:23:42;2023-09-24T07:04:10;ENVIADO;Carolina Networked mesh;94028;false;Architect holistic magenta;Indonesia;Lek Franc calculate;Account Salad;calculating Chair Belgium;Electronics Pakistan;2023-09-23T22:11:33;mint Extension;2023-09-24T01:51:35
4;2023-09-24T11:51:10;2023-09-24T03:39:10;2023-09-24T10:43:30;2023-09-24T08:57:52;2023-09-24T18:55:12;PAGADO;Granite best-of-breed;90931;true;Islands;local copy Berkshire;program state;hard Sahara Functionality;Rubber invoice;Moldovan line;2023-09-24T04:51:15;utilisation PCI;2023-09-23T22:25:15
5;2023-09-24T09:53:34;2023-09-24T02:49:27;2023-09-23T23:01:12;2023-09-24T01:48:25;2023-09-24T01:04:19;PAGADO;Computer Alaska;94720;false;Global;cross-platform Metrics Borders;Kids Soft copy;indigo Parks Delaware;Chips;Rustic;2023-09-24T15:56:47;copy database generate;2023-09-24T05:06:34
6;2023-09-24T01:48:46;2023-09-24T19:05:20;2023-09-24T11:50:14;2023-09-24T15:42:20;2023-09-24T17:44:42;INICIAL;Sausages COM;71444;true;synthesize Central array;Tokelau Berkshire;Unbranded Georgia;index clicks-and-mortar Organic;responsive core Incredible;bandwidth background;2023-09-24T01:11:14;B2C;2023-09-23T21:34:35
7;2023-09-24T01:23:23;2023-09-24T02:38:21;2023-09-24T12:12:12;2023-09-24T18:37:52;2023-09-24T01:01:03;CREADO;Loan complexity;59208;false;Handmade redundant;pixel Direct;Keyboard Avon;Wooden state Plains;Ergonomic Developer;Games;2023-09-24T08:57:22;withdrawal Awesome;2023-09-24T06:59:47
8;2023-09-24T18:51:39;2023-09-23T19:29:30;2023-09-24T17:40:23;2023-09-24T00:37:06;2023-09-24T00:54:18;ENVIADO;Mews Southern;91496;false;Soft AI artificial;needs-based ability;Lead;JSON;Switchable SDD;niches;2023-09-24T01:53:47;input;2023-09-24T15:47:08
9;2023-09-24T15:25:35;2023-09-23T22:07:01;2023-09-24T10:03:29;2023-09-24T09:58:26;2023-09-23T22:49:02;ENVIADO;Dynamic customer Wooden;20770;true;Loan Cambridgeshire;connect Palau synthesizing;Arkansas Incredible;Switzerland Metal black;Shoes calculating;Games Practical Shoes;2023-09-24T09:27:41;back-end internet parsing;2023-09-23T21:47:09
10;2023-09-24T02:14:23;2023-09-24T12:39:42;2023-09-24T14:38:34;2023-09-24T07:43:27;2023-09-24T14:39:09;PAGADO;Monetary ivory Intuitive;81312;false;protocol toolset;Sleek Market Officer;Plastic Handcrafted;Franc;Electronics;bluetooth;2023-09-23T19:53:07;Islands;2023-09-24T04:22:22
